CTISMILES	_internalID_
CN(c1ccnc(n1)Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)c5cc(cc(c5)OC)CO	CHEMBL1762529
Cc1nc(c(nc1c2ccc(cc2)[C@H]3CC[C@@H](CC3)CCC(=O)O)C(=O)N)C	CHEMBL2178941
CCN(C1CCCCC1)C(=O)c2cnn(c2NS(=O)(=O)c3ccc(cc3)c4cnco4)c5ccccc5	CHEMBL1916271
Cc1ccnc2n1nc(n2)C(=O)Nc3nccs3	CHEMBL1605804
c1ccc(c(c1)C(=O)Nc2cccc(c2)C(F)(F)F)NCc3ccncc3	CHEMBL153843
CC(=O)N1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)c4cnc5n4cccc5CO)Cl	CHEMBL1809202
c1cc(ccc1[C@@H](CC2CCOCC2)C(=O)Nc3ncc(s3)F)S(=O)(=O)C4CC4	CHEMBL499520
c1cc2c3c([nH]c2c(c1)Cl)CCN(C3)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N	CHEMBL2163582
CCn1c2ccccc2c3c1ccc(c3)NC(=O)CN(C)C	CHEMBL294286
Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4ccc5c(c4)OCO5	CHEMBL178457
COCCOc1cc2c(cc1OC)c(ncn2)Nc3ncc(s3)CC(=O)Nc4cccc(c4)F	CHEMBL201297
C[C@@H]1CN(CCN1c2ncc(cn2)OCc3ccncc3C#N)c4ncc(cn4)F	CHEMBL2086689
c1cc(nn2c1nnc2C(F)(F)F)N3CCCCCC3	CHEMBL1426965
Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccncc6)C	CHEMBL314260
c1ccc2c(c1)nc(o2)c3cc(cnc3N)c4cnn(c4)CCO	CHEMBL1200076
c1ccc2c(c1)CC(C(=O)N2CC(CO)CO)NC(=O)c3cc4cc(sc4[nH]3)Cl	CHEMBL397688
COc1ccc(cn1)NC(=O)c2nnc(o2)Nc3ccccc3F	CHEMBL2036581
Cc1c(sc(n1)C)C(=O)N[C@@H](Cc2cccc(c2)Cl)C(=O)NCC#N	CHEMBL551060
CC(C)(C)OC(=O)N1CCC(CC1)c2ncc(cn2)OCc3ccc(cc3)S(=O)(=O)C	CHEMBL2086658
c1ccc(cc1)C(=O)CS(=O)(=O)c2ccccc2	CHEMBL379738
CCN(C1CCN(CC1)CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cccc(c3)F)C(=O)Cc4ccc(cc4)S(=O)(=O)C	CHEMBL212731
c1ccc(cc1)CC(=O)Nc2ccccc2O	CHEMBL215634
c1ccc(cc1)c2cc(cnc2c3ccc(cc3)C4(CCC4)N)C(=O)N	CHEMBL2035040
